province,country,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Combined_Key
Unknown,United Kingdom,0,0,0,0.0,,,"Unknown, United Kingdom"
Uppsala,Sweden,3919,243,0,3676.0,1021.3362591311736,6.20056136769584,"Uppsala, Sweden"
Utah,US,62852,440,0,62412.0,1710.0988273242033,0.8431449372770398,"Utah, US"
Utrecht,Netherlands,7260,437,0,6823.0,535.8590056051147,6.019283746556474,"Utrecht, Netherlands"
Uttar Pradesh,India,342788,4869,270094,67825.0,144.09957679776872,1.4204114496423446,"Uttar Pradesh, India"
Uttarakhand,India,38007,464,26250,11293.0,337.81423603426515,1.2208277422580052,"Uttarakhand, India"
Valle d'Aosta,Italy,1276,146,1082,48.0,1015.3900020689764,11.442006269592474,"Valle d'Aosta, Italy"
Valle del Cauca,Colombia,56837,2092,47119,7626.0,1269.8491427172185,3.680700951844748,"Valle del Cauca, Colombia"
Valparaiso,Chile,26095,823,24120,1152.0,1437.026888014882,3.1538608928913585,"Valparaiso, Chile"
Varmland,Sweden,1241,73,0,1168.0,439.42580750246094,5.882352941176472,"Varmland, Sweden"
Vasterbotten,Sweden,905,31,0,874.0,333.0438366649984,3.425414364640884,"Vasterbotten, Sweden"
Vasternorrland,Sweden,1881,136,0,1745.0,766.6692480446063,7.230196703880915,"Vasternorrland, Sweden"
Vastmanland,Sweden,2854,183,0,2671.0,1034.639018289257,6.412053258584442,"Vastmanland, Sweden"
Vastra Gotaland,Sweden,19514,860,0,18654.0,1130.6689163389594,4.407092343958183,"Vastra Gotaland, Sweden"
Vaupes,Colombia,679,5,457,217.0,1664.3380640733387,0.7363770250368189,"Vaupes, Colombia"
Veneto,Italy,25609,2158,20406,3045.0,522.0090120904537,8.426724979499395,"Veneto, Italy"
Veracruz,Mexico,31680,4046,26543,1091.0,370.9661818891218,12.771464646464649,"Veracruz, Mexico"
Vermont,US,1710,58,0,1652.0,203.13344587557617,1.5923367108605009,"Vermont, US"
Vichada,Colombia,397,4,221,172.0,368.24725437815374,1.0075566750629723,"Vichada, Colombia"
Victoria,Australia,20042,761,18379,902.0,302.2971688864085,3.797026244885741,"Victoria, Australia"
Vinnytsia Oblast,Ukraine,5200,98,3461,1641.0,333.24916655665174,1.8846153846153848,"Vinnytsia Oblast, Ukraine"
Virgin Islands,US,1257,19,0,1238.0,1171.831301040385,1.511535401750199,"Virgin Islands, US"
Virginia,US,139546,2988,0,136558.0,1552.5389847999609,2.500897000111522,"Virginia, US"
Vladimir Oblast,Russia,6906,201,5774,931.0,501.03857039316216,2.9105125977410946,"Vladimir Oblast, Russia"
Volgograd Oblast,Russia,13965,130,12334,1501.0,553.8862068254329,0.9308986752595776,"Volgograd Oblast, Russia"
Vologda Oblast,Russia,4124,45,3523,556.0,350.47493432844186,1.0911736178467508,"Vologda Oblast, Russia"
Volyn Oblast,Ukraine,6783,143,4774,1866.0,655.1534293413695,2.108211705734925,"Volyn Oblast, Ukraine"
